S.no,Owner,License Plate,Current Route,Location,Distance (m),Time,Static Time (s),Total Time (s),Velocity (m/sec),Previous Hash,Hash,vehicle is in traffic (y/n),vehicle_frequency,traffic_frequency
1,0x116,ABC724,RouteB,LocationE,7000,1731922531.6755483,114,3229,2.167853824713533,0000000000000000000000000000000000000000000000000000000000000000,758ca1baebaca719a9829ad51bf494d07906d13bf454ea1cd5c25a0246deb5ca,True,high,high
2,0x116,ABC724,RouteB,LocationF,7000,1731922536.653899,149,4601,1.5214083894805477,758ca1baebaca719a9829ad51bf494d07906d13bf454ea1cd5c25a0246deb5ca,fa6efdaeae15aef88c014244efc428d8dade003f8964e69e738226babf70c756,True,high,high
3,0x116,ABC724,RouteB,LocationG,7000,1731922541.6534336,69,6677,1.0483750187209824,fa6efdaeae15aef88c014244efc428d8dade003f8964e69e738226babf70c756,7591ae467ac67da16ed58db77d600ec1b7fd290b74445040fe8f6dd00c570ba3,False,high,high
4,0x116,ABC724,RouteD,LocationM,55000,1731922546.659912,21,8992,6.116548042704626,7591ae467ac67da16ed58db77d600ec1b7fd290b74445040fe8f6dd00c570ba3,b463729d3327cf0eb6f4b9faefd3b1dd34c69300806afe03048a2fd0c3dfccb4,False,low,low
5,0x116,ABC724,RouteD,LocationN,55000,1731922551.657892,106,10337,5.320692657444133,b463729d3327cf0eb6f4b9faefd3b1dd34c69300806afe03048a2fd0c3dfccb4,7812a9ff13fa3effe2539fc09efaeb86fbd064c6a245860e052471841128a254,True,high,high
6,0x116,ABC724,RouteD,LocationO,55000,1731922556.6622093,20,11784,4.6673455532926,7812a9ff13fa3effe2539fc09efaeb86fbd064c6a245860e052471841128a254,fa65b6e31023886f0f0950a858aac74b0d25ce21e05f887ac16be6cc694e5266,False,high,high
7,0x116,ABC724,RouteD,LocationP,55000,1731922561.6630597,148,13058,4.211977331903814,fa65b6e31023886f0f0950a858aac74b0d25ce21e05f887ac16be6cc694e5266,2a141f93e751e13f40d06f2612284afe717ad3fc8769090ed5a5bd964c619f65,True,high,high
8,0x116,ABC724,RouteD,LocationQ,55000,1731922566.661354,117,14110,3.897944720056697,2a141f93e751e13f40d06f2612284afe717ad3fc8769090ed5a5bd964c619f65,b6b497adabb513ef8445afa725cb0726eeed3bb266aa36667e5c1666829641e2,True,high,high
9,0x116,ABC724,RouteD,LocationR,55000,1731922571.6622994,122,16557,3.321857824485112,b6b497adabb513ef8445afa725cb0726eeed3bb266aa36667e5c1666829641e2,93ab5c0cee2978ab21ac2952de6ec22cbe281bbe2d60f0e0a7385072de2aac00,True,high,high
10,0x116,ABC724,RouteC,LocationH,40000,1731922576.665317,122,18461,2.166729862954336,93ab5c0cee2978ab21ac2952de6ec22cbe281bbe2d60f0e0a7385072de2aac00,bc77e1aa78967ce68f2268dd6ad811683fb0356f35d90f6760522dd3aa0c256a,True,high,high
11,0x116,ABC724,RouteC,LocationI,40000,1731922581.6653855,52,20155,1.9846192011907715,bc77e1aa78967ce68f2268dd6ad811683fb0356f35d90f6760522dd3aa0c256a,ada8b444964fd2a672f836f546b6c22f14276466344a10bbaf9eaeef28713f8d,False,high,high
12,0x116,ABC724,RouteC,LocationJ,40000,1731922586.6659615,96,21997,1.8184297858798928,ada8b444964fd2a672f836f546b6c22f14276466344a10bbaf9eaeef28713f8d,62645b05f133b7840c8107c126f803b9a14b8d93c454e0f0e3caf775fe5c88a6,False,high,high
13,0x116,ABC724,RouteC,LocationK,40000,1731922591.6668448,121,24479,1.6340536786633442,62645b05f133b7840c8107c126f803b9a14b8d93c454e0f0e3caf775fe5c88a6,46c580d1cc48207230cd1dc3f84cacdb72024e32d1fbeaa25054e17e0692335e,True,high,high
14,0x116,ABC724,RouteC,LocationL,40000,1731922596.6675262,91,25879,1.5456547780053325,46c580d1cc48207230cd1dc3f84cacdb72024e32d1fbeaa25054e17e0692335e,bd54c01e1b9e07b67655b90b4883281152d5867c14274e6d9a4af01ffb63e7c6,False,high,high
15,0x116,ABC724,RouteC,LocationH,40000,1731922601.6672218,150,27040,1.4792899408284024,bd54c01e1b9e07b67655b90b4883281152d5867c14274e6d9a4af01ffb63e7c6,bd61c2bbfdb0ba7665184186aa082091a0abd090ee12707bb62cda7f34ed4e1d,True,high,high
16,0x116,ABC724,RouteC,LocationI,40000,1731922606.6679416,95,29113,1.3739566516676398,bd61c2bbfdb0ba7665184186aa082091a0abd090ee12707bb62cda7f34ed4e1d,0caf085f0b7b2099664bf4e937068cc1d0843aaba1666f9a7231307bfce8401e,False,high,high
17,0x116,ABC724,RouteC,LocationJ,40000,1731922611.670391,96,30484,1.312163758037003,0caf085f0b7b2099664bf4e937068cc1d0843aaba1666f9a7231307bfce8401e,33cc488e01a7f8637569e990bab4c81ecebddb00ca030bd84579cae38d4a2fe8,False,high,high
18,0x116,ABC724,RouteC,LocationK,40000,1731922616.6697366,30,31525,1.26883425852498,33cc488e01a7f8637569e990bab4c81ecebddb00ca030bd84579cae38d4a2fe8,8b4f4bc47fb50945960cd0091dac19b08e517cac21f497860974b8142dbb27ff,False,high,high
19,0x116,ABC724,RouteC,LocationL,40000,1731922621.6715198,108,32596,1.2271444348999878,8b4f4bc47fb50945960cd0091dac19b08e517cac21f497860974b8142dbb27ff,fbbd6be259968cc3837fbb6cb1029eb42f5bb4d6bddb2a21f0e0c545796d5ac7,True,high,high
20,0x116,ABC724,RouteA,LocationA,22000,1731922626.6731684,67,35015,0.6283021562187634,fbbd6be259968cc3837fbb6cb1029eb42f5bb4d6bddb2a21f0e0c545796d5ac7,6245b95f2482706709595a9e3e284a218385ce7794b270d2aec732c553e83a2c,False,high,high
21,0x116,ABC724,RouteA,LocationB,22000,1731922631.673133,106,36824,0.5974364544862046,6245b95f2482706709595a9e3e284a218385ce7794b270d2aec732c553e83a2c,6970ccf9133807807802845c3f5ea9f881446bb318d0e161e0705c41d130b5af,True,high,high
22,0x116,ABC724,RouteA,LocationC,22000,1731922636.6739006,43,38461,0.5720080081121136,6970ccf9133807807802845c3f5ea9f881446bb318d0e161e0705c41d130b5af,7c9f3fba6c4bad75e6077578ec877058639bc87aff77e2e7069292ee1bfc79e0,False,high,high
23,0x116,ABC724,RouteA,LocationD,22000,1731922641.6756315,81,39463,0.557484225730431,7c9f3fba6c4bad75e6077578ec877058639bc87aff77e2e7069292ee1bfc79e0,7f287d5672bdd9693c179a38104baf23de1c1eddef7703e8f70a2668022ad47c,False,high,high
24,0x116,ABC724,RouteA,LocationA,22000,1731922646.6769042,133,40457,0.5437872308871147,7f287d5672bdd9693c179a38104baf23de1c1eddef7703e8f70a2668022ad47c,0d66f4dffeea2b30d7576773f7db10bce2c070117fa8c3be009c76bf58a60327,True,high,high
25,0x116,ABC724,RouteA,LocationB,22000,1731922651.6809711,30,42460,0.5181347150259067,0d66f4dffeea2b30d7576773f7db10bce2c070117fa8c3be009c76bf58a60327,af80eb3f2c04adc8258ed6303d2a4813efb8490435ffc561cb16bd36a78bac67,False,high,high
26,0x116,ABC724,RouteA,LocationC,22000,1731922656.6783388,75,44840,0.4906333630686886,af80eb3f2c04adc8258ed6303d2a4813efb8490435ffc561cb16bd36a78bac67,381bb6d0052767790efa0399d5ae7454f4e512ca3ac4a0767ad076930b5cf52b,False,high,high
27,0x116,ABC724,RouteA,LocationD,22000,1731922661.6793704,95,46453,0.4735969689793985,381bb6d0052767790efa0399d5ae7454f4e512ca3ac4a0767ad076930b5cf52b,b2693ae83b1e5ecd6b7f177cfde5789ba7ba37a3673f0412b1c5e01f252ef88c,False,high,high
