S.no,Owner,License Plate,Current Route,Location,Distance (m),Time,Static Time (s),Total Time (s),Velocity (m/sec),Previous Hash,Hash,vehicle is in traffic (y/n),vehicle_frequency,traffic_frequency
1,0x103,ABC732,RouteD,LocationM,55000,1731922531.6443553,36,3934,13.980681240467716,0000000000000000000000000000000000000000000000000000000000000000,ffb9c64f3e2d7c54bb6c5d75e88dca47dfc4553aa1b84d2a9a0724884d15f652,False,low,low
2,0x103,ABC732,RouteD,LocationN,55000,1731922537.1548483,93,5657,9.72246773908432,ffb9c64f3e2d7c54bb6c5d75e88dca47dfc4553aa1b84d2a9a0724884d15f652,6c0b17da8cf10853ae473f3d7e18a54ae129fc72e0896b1f8eda160f4237313f,False,medium,medium
3,0x103,ABC732,RouteD,LocationO,55000,1731922543.147548,70,7265,7.570543702684102,6c0b17da8cf10853ae473f3d7e18a54ae129fc72e0896b1f8eda160f4237313f,8d12aa140a3c01020f0f78d6f466590b2b51aca355965551a61776efed61d5ae,False,medium,medium
4,0x103,ABC732,RouteD,LocationP,55000,1731922548.155301,86,9636,5.707762557077626,8d12aa140a3c01020f0f78d6f466590b2b51aca355965551a61776efed61d5ae,528540597d4756ed7b24eb6e8cc8d7a64e5daa7e4d04a0a693bb1cf6640c4398,False,medium,medium
5,0x103,ABC732,RouteD,LocationQ,55000,1731922553.1545556,99,11525,4.772234273318872,528540597d4756ed7b24eb6e8cc8d7a64e5daa7e4d04a0a693bb1cf6640c4398,17c8165ec33ed467dc1560039d4a4ce2871759ad683c93aace552726860cd3ce,False,high,high
6,0x103,ABC732,RouteD,LocationR,55000,1731922558.1571262,47,13502,4.0734705969486,17c8165ec33ed467dc1560039d4a4ce2871759ad683c93aace552726860cd3ce,2704f61866433d6e001aeb5fece9dcf6d47fe735bb8a27433bc47cacbd6e8866,False,high,high
7,0x103,ABC732,RouteA,LocationA,22000,1731922563.1636648,27,15855,1.3875748975086724,2704f61866433d6e001aeb5fece9dcf6d47fe735bb8a27433bc47cacbd6e8866,e08b5ddb264a59aa239c8aa48c644c09c862c56129b96285be343bcb30ae8236,False,high,high
8,0x103,ABC732,RouteA,LocationB,22000,1731922568.1655104,37,17609,1.2493611221534442,e08b5ddb264a59aa239c8aa48c644c09c862c56129b96285be343bcb30ae8236,a5d812515288221fa939150a1ffc5dcffc9194f397dfd652f1307a59f0fc817c,False,high,high
9,0x103,ABC732,RouteA,LocationC,22000,1731922573.168872,122,19410,1.1334363730036063,a5d812515288221fa939150a1ffc5dcffc9194f397dfd652f1307a59f0fc817c,e5d5de6a91dbd9e7582df0548cc7ec36e8424395c59cda60fb5d22cbe2e0c433,True,high,high
10,0x103,ABC732,RouteA,LocationD,22000,1731922578.168577,101,21435,1.026358759038955,e5d5de6a91dbd9e7582df0548cc7ec36e8424395c59cda60fb5d22cbe2e0c433,93fca4442e9e128066b47000faaa23b9ae018615ad9ad580ba98d2762c302060,True,high,high
11,0x103,ABC732,RouteA,LocationA,22000,1731922583.170785,71,23559,0.9338257141644384,93fca4442e9e128066b47000faaa23b9ae018615ad9ad580ba98d2762c302060,c17e8f7b92354df5d6265f1e2fe973237c1652ec861ec4402bf6cb07369d9164,False,high,high
12,0x103,ABC732,RouteA,LocationB,22000,1731922588.1716022,40,25878,0.8501429785918541,c17e8f7b92354df5d6265f1e2fe973237c1652ec861ec4402bf6cb07369d9164,f1f818a332f20ca974f1e8a9b616f3b7ea38567167ee1fa44274199a936bb072,False,high,high
13,0x103,ABC732,RouteA,LocationC,22000,1731922593.1752346,33,28144,0.7816941444002274,f1f818a332f20ca974f1e8a9b616f3b7ea38567167ee1fa44274199a936bb072,19d4af2ce63af72ef68d8bea55e44ac53e6cff0a00b8d26653b534edf1efd0c1,False,high,high
14,0x103,ABC732,RouteA,LocationD,22000,1731922598.1761627,43,29192,0.7536311318169362,19d4af2ce63af72ef68d8bea55e44ac53e6cff0a00b8d26653b534edf1efd0c1,ae808a9cd11956a5bf964afbc883a8629b7b612baf74070264f2c737cdff297a,False,high,high
15,0x103,ABC732,RouteB,LocationE,7000,1731922603.1781046,116,31385,0.223036482396049,ae808a9cd11956a5bf964afbc883a8629b7b612baf74070264f2c737cdff297a,1d969ecda0c8c0a5f40178a49724d8a4db5b18688327775515107d429883a089,True,high,high
16,0x103,ABC732,RouteB,LocationF,7000,1731922608.1784933,64,33372,0.2097566822485916,1d969ecda0c8c0a5f40178a49724d8a4db5b18688327775515107d429883a089,35728caa93cac3fb2f391b05d3e6bfa1a08346d741c717433f9736366293295b,False,high,high
17,0x103,ABC732,RouteB,LocationG,7000,1731922613.1815827,132,35631,0.196458140383374,35728caa93cac3fb2f391b05d3e6bfa1a08346d741c717433f9736366293295b,382be8b6cabdd13e8979fc8d7a7ca2ea21f6e85ad47db7004ec197f01211fb79,True,high,high
18,0x103,ABC732,RouteD,LocationM,55000,1731922618.1805596,24,36797,1.4946870668804522,382be8b6cabdd13e8979fc8d7a7ca2ea21f6e85ad47db7004ec197f01211fb79,6b17f5ed242100602d2057e6a5fdbd88cd7255ea10d3a474d28d199effd6de51,False,high,high
19,0x103,ABC732,RouteD,LocationN,55000,1731922623.183758,81,38800,1.4175257731958764,6b17f5ed242100602d2057e6a5fdbd88cd7255ea10d3a474d28d199effd6de51,c7b61428b13bdda23a517f0c6add2bc0cbe0a31d51c2ef572600a6fbbe6995b4,False,high,high
20,0x103,ABC732,RouteD,LocationO,55000,1731922628.185326,124,41000,1.3414634146341464,c7b61428b13bdda23a517f0c6add2bc0cbe0a31d51c2ef572600a6fbbe6995b4,32589a14866aeecc9794a6865e3c26e7d8df467afff6211c44f53e7b41c31ab2,True,high,high
