S.no,Owner,License Plate,Current Route,Location,Distance (m),Time,Static Time (s),Total Time (s),Velocity (m/sec),Previous Hash,Hash,vehicle is in traffic (y/n),vehicle_frequency,traffic_frequency
1,0x108,ABC678,RouteB,LocationE,7000,1731922537.6796944,147,3300,2.121212121212121,0000000000000000000000000000000000000000000000000000000000000000,713a5834c08f73e02df66cc3c5436669f35be8bafabcc876cd15449ddf74144b,True,high,high
2,0x108,ABC678,RouteB,LocationF,7000,1731922539.166577,58,4494,1.557632398753894,713a5834c08f73e02df66cc3c5436669f35be8bafabcc876cd15449ddf74144b,002ac34cf4fa75689d6c502da9d2ba1f9a94919aeeba366942d0158fc6eb1ae5,False,high,high
3,0x108,ABC678,RouteB,LocationG,7000,1731922542.6632168,81,6766,1.0345846881466154,002ac34cf4fa75689d6c502da9d2ba1f9a94919aeeba366942d0158fc6eb1ae5,8f70e5846348144be7ac01b7cd1a8ec962c2a6f9f1a924bd48182e22d16312e2,False,high,high
4,0x108,ABC678,RouteB,LocationE,7000,1731922544.1674938,20,8911,0.7855459544383346,8f70e5846348144be7ac01b7cd1a8ec962c2a6f9f1a924bd48182e22d16312e2,167580e5d0eee91d25b234e600a84cdf103365f4614e745a26427e79390f70f4,False,high,high
5,0x108,ABC678,RouteB,LocationF,7000,1731922547.664948,139,10120,0.691699604743083,167580e5d0eee91d25b234e600a84cdf103365f4614e745a26427e79390f70f4,0ec566853a33f7e77ec37c8276c8463cc6c54a55a71dfb09d036e697efbf84c4,True,high,high
6,0x108,ABC678,RouteB,LocationG,7000,1731922549.170506,146,12039,0.5814436414984633,0ec566853a33f7e77ec37c8276c8463cc6c54a55a71dfb09d036e697efbf84c4,6cefa9cd06edda6a2035d96b6b50d5b26e21c10ad78379cfcd3d066d84e30c45,True,high,high
7,0x108,ABC678,RouteD,LocationM,55000,1731922552.663118,72,13326,4.127269998499175,6cefa9cd06edda6a2035d96b6b50d5b26e21c10ad78379cfcd3d066d84e30c45,4f79e8edd585c711e9e1f50a3b6fa76f98d78a41a3c7316bd1e6abc3788736f5,False,high,high
8,0x108,ABC678,RouteD,LocationN,55000,1731922554.176051,120,14640,3.756830601092896,4f79e8edd585c711e9e1f50a3b6fa76f98d78a41a3c7316bd1e6abc3788736f5,ed8303f38933c0ad6f488e1ae813e4f2660b744614e3a27d40c813de646eec81,True,high,high
9,0x108,ABC678,RouteD,LocationO,55000,1731922557.6665833,134,16562,3.3208549692066174,ed8303f38933c0ad6f488e1ae813e4f2660b744614e3a27d40c813de646eec81,6ac3afc53fb8d5cf2192e96aef03054a8e19d1a6918015bd557e855e2e10eb92,True,high,high
10,0x108,ABC678,RouteD,LocationP,55000,1731922559.680498,34,17481,3.1462730965047765,6ac3afc53fb8d5cf2192e96aef03054a8e19d1a6918015bd557e855e2e10eb92,716ff1eb851980e01d96cf56a0ad6833efdaf3acfd6cc345cdb441a6224a37e6,False,high,high
11,0x108,ABC678,RouteD,LocationQ,55000,1731922562.6684828,130,19439,2.829363650393539,716ff1eb851980e01d96cf56a0ad6833efdaf3acfd6cc345cdb441a6224a37e6,a75538af040875753cd94eb138575405f135d0e3ddc1cc1b32fc020adc716b62,True,high,high
12,0x108,ABC678,RouteD,LocationR,55000,1731922564.690788,65,20509,2.681749475839875,a75538af040875753cd94eb138575405f135d0e3ddc1cc1b32fc020adc716b62,0d9f53c32a2942041b3c775375ee7e4444a9f925514308b8d70876a795199f61,False,high,high
13,0x108,ABC678,RouteD,LocationM,55000,1731922567.6853087,45,22724,2.420348530188347,0d9f53c32a2942041b3c775375ee7e4444a9f925514308b8d70876a795199f61,005d4b00463a289af66f34231aa85460f877dfd3a6ec7cfd9f2ffe9b32b74c03,False,high,high
14,0x108,ABC678,RouteD,LocationN,55000,1731922569.6865146,78,24455,2.2490288284604376,005d4b00463a289af66f34231aa85460f877dfd3a6ec7cfd9f2ffe9b32b74c03,909f56f46f78342b2f1e7ab673e659a90f0dce9ef52556c708eac0b7791fd72c,False,high,high
15,0x108,ABC678,RouteD,LocationO,55000,1731922572.6700485,135,26738,2.056997531602962,909f56f46f78342b2f1e7ab673e659a90f0dce9ef52556c708eac0b7791fd72c,767aca7584e62fd424a47dcc53aaadeb1f6e0f0b3e1613bb42b0d9297a312860,True,high,high
16,0x108,ABC678,RouteD,LocationP,55000,1731922574.6871898,75,29037,1.8941350690498329,767aca7584e62fd424a47dcc53aaadeb1f6e0f0b3e1613bb42b0d9297a312860,b4ed0ebd91c05b64b9bce8490678be1dc7c9f74cecad18459ef079ae404613e9,False,high,high
17,0x108,ABC678,RouteD,LocationQ,55000,1731922577.6717522,110,31472,1.747585155058465,b4ed0ebd91c05b64b9bce8490678be1dc7c9f74cecad18459ef079ae404613e9,24e81fc8005b343c8a7e771b11c8cd33d7906b2d03704c3d90490002ae6823e3,True,high,high
18,0x108,ABC678,RouteD,LocationR,55000,1731922579.688944,143,32775,1.6781083142639206,24e81fc8005b343c8a7e771b11c8cd33d7906b2d03704c3d90490002ae6823e3,ba21ed53a07ee2eb66e67c7a5af3f16884d6b92969b2c262bf176d9bb8283b39,True,high,high
19,0x108,ABC678,RouteB,LocationE,7000,1731922582.67645,129,34114,0.2051943483613765,ba21ed53a07ee2eb66e67c7a5af3f16884d6b92969b2c262bf176d9bb8283b39,3a44b3023a9d43115eb70e3a7b7132d0acad6308ee843742ba869185fed9231e,True,high,high
20,0x108,ABC678,RouteB,LocationF,7000,1731922584.6901343,129,35833,0.1953506544246923,3a44b3023a9d43115eb70e3a7b7132d0acad6308ee843742ba869185fed9231e,f644dfa55491955f80f707f5888bb76e7dc99a6272285aee1c4cfe68eaa7ec4b,True,high,high
21,0x108,ABC678,RouteB,LocationG,7000,1731922587.672299,125,38090,0.1837752690995011,f644dfa55491955f80f707f5888bb76e7dc99a6272285aee1c4cfe68eaa7ec4b,cc6ef833cb03502f0bb602a2b7110ccf91ffbc9c96f9757794864a5fcb6adba5,True,high,high
22,0x108,ABC678,RouteB,LocationE,7000,1731922589.6886036,107,39886,0.1755001755001755,cc6ef833cb03502f0bb602a2b7110ccf91ffbc9c96f9757794864a5fcb6adba5,2bc5a5884f997c6beb0e0ef267f3b06e6a16e6b353b2f293d70c20282b7e1355,True,high,high
23,0x108,ABC678,RouteB,LocationF,7000,1731922592.6754344,112,41292,0.1695243630727501,2bc5a5884f997c6beb0e0ef267f3b06e6a16e6b353b2f293d70c20282b7e1355,9ba7173212c50cbc24413f0ab166159c4991e348cd622229ef459ccac3e8ee4e,True,high,high
